Dataset,original dim,intrinsic dim_L1,intrinsic dim_L2,No. of instances
Project0001,14,3.4310785437717226,4.1941244089166485,41
Project0002,14,3.431078543771718,3.431078543771718,39
Project0003,14,9.632255237823783,4.855104802408035,55
Project0004,14,5.438130828907133,3.9349028806059345,64
Project0005,14,5.438130828907129,5.438130828907129,61
Project0006,14,6.862157087543445,6.862157087543445,60
Project0007,14,2.9095439912654855,5.438130828907133,55
Project0008,14,3.4310785437717226,3.431078543771718,39
Project0009,14,6.7227112465582985,5.438130828907133,49
Project0010,14,7.44518311404254,7.9667176665487816,45
Project0011,14,6.862157087543445,5.438130828907129,44
Project0012,14,4.5356391227770585,3.4310785437717226,33
Project0013,14,7.9667176665487816,4.855104802408035,52
Project0014,14,2.9095439912654832,2.1323754346576433,51
Project0015,14,4.444810886369485,2.9438001833461223,45
Project0016,14,7.9667176665487816,4.333570249901793,43
Project0017,14,3.4310785437717226,3.4310785437717226,46
Project0018,14,4.1229001585287595,2.1676069001135208,56
Project0019,14,5.438130828907129,3.4310785437717226,46
Project0020,14,6.862157087543445,5.438130828907133,35
Project0021,14,6.862157087543445,5.438130828907133,53
Project0022,14,5.95966538141337,2.7700981502803366,64
Project0023,14,5.007424512808465,5.438130828907129,56
Project0024,14,4.729781652885798,3.4310785437717226,49
Project0025,14,4.1941244089166485,3.4310785437717226,49
Project0026,14,4.5356391227770585,3.4310785437717226,35
Project0027,14,4.5356391227770585,5.438130828907133,48
Project0028,14,5.438130828907129,7.966717666548777,41
Project0029,14,4.1941244089166485,3.4310785437717226,57
Project0030,14,3.6511147684973464,2.1158478733933466,42
Project0031,14,3.0003722276730564,5.438130828907129,39
Project0032,14,7.9667176665487816,4.855104802408035,44
Project0033,14,3.633147416646986,3.4310785437717226,39
Project0034,14,5.438130828907133,2.811520986149394,43
Project0035,14,10.876261657814267,2.528586837641648,48
Project0036,14,5.438130828907129,3.4310785437717226,39
Project0037,14,8.869209372678856,6.862157087543445,57
Project0038,14,5.438130828907129,4.5356391227770585,46
Project0039,14,4.19412440891665,3.4310785437717226,22
Project0040,14,6.862157087543445,5.438130828907133,40
Project0041,14,4.5356391227770585,3.4310785437717226,40
Project0042,14,5.096616115046723,3.4310785437717226,58
Project0043,14,6.431450771444782,3.431078543771725,44
Project0044,14,4.798532758081104,6.862157087543445,48
Project0045,14,3.2406704536741318,3.4310785437717226,41
Project0046,14,4.01410457027082,3.4310785437717226,30
Project0047,14,4.5356391227770585,3.431078543771718,41
Project0048,14,4.729781652885798,5.438130828907129,49
Project0049,14,5.438130828907133,5.438130828907133,36
Project0050,14,5.438130828907133,3.4310785437717226,37
Project0051,14,3.7311704217630735,3.4310785437717226,49
Project0052,14,2.858709141410074,5.438130828907133,40
Project0053,14,3.4310785437717226,4.5356391227770585,54
Project0054,14,5.834342231891138,5.155196680399385,43
Project0055,14,6.201176694052057,6.20117669405206,49
Project0056,14,6.862157087543441,3.772593257632128,51
Project0057,14,5.438130828907129,3.4310785437717226,44
Project0058,14,6.862157087543445,5.438130828907133,48
Project0059,14,4.5356391227770585,3.4310785437717226,43
Project0060,14,4.5356391227770585,3.4310785437717226,44
Project0061,14,4.5356391227770585,4.855104802408035,52
Project0062,14,4.5356391227770585,3.4310785437717226,59
Project0063,14,8.869209372678851,3.4310785437717226,42
Project0064,14,10.293235631315163,5.438130828907129,50
Project0065,14,5.128655061849527,3.7311704217630752,42
Project0066,14,4.194124408916653,6.20117669405206,60
Project0067,14,4.014104570270821,3.4310785437717226,40
Project0068,14,7.9667176665487816,3.6511147684973486,57
Project0069,14,7.9667176665487816,5.438130828907133,52
Project0070,14,4.855104802408035,3.4310785437717226,47
Project0071,14,5.00742451280847,3.4310785437717226,54
Project0072,14,4.855104802408035,3.4310785437717226,38
Project0073,14,5.834342231891135,4.5356391227770585,43
Project0074,14,5.438130828907133,5.438130828907129,41
Project0075,14,5.7057635741949975,5.438130828907133,54
Project0076,14,3.6331474166469837,3.4310785437717226,53
Project0077,14,5.438130828907133,3.4310785437717226,36
Project0078,14,5.600440451880938,6.862157087543445,55
Project0079,14,4.855104802408035,6.862157087543445,45
Project0080,14,5.438130828907129,3.4310785437717226,44
Project0081,14,4.94271770905007,2.6680326786267945,28
Project0082,14,3.4310785437717226,3.4310785437717226,35
Project0083,14,6.862157087543445,4.5356391227770585,40
Project0084,14,6.862157087543445,5.438130828907129,58
Project0085,14,3.4310785437717226,3.4310785437717226,45
Project0086,14,5.438130828907133,5.438130828907133,62
Project0087,14,5.95966538141337,5.438130828907133,35
Project0088,14,5.834342231891138,6.862157087543445,28
Project0089,14,3.750544223402699,3.431078543771718,41
Project0090,14,5.057173675283296,4.729781652885802,55
Project0091,14,8.869209372678851,6.862157087543445,44
Project0092,14,7.44518311404254,2.5285868376416523,63
Project0093,14,3.9716150389984297,4.5356391227770585,45
Project0094,14,9.390743925185093,5.007424512808465,48
Project0095,14,5.4381308289071315,5.438130828907133,30
Project0096,14,3.4310785437717226,4.5356391227770585,48
Project0097,14,6.862157087543445,5.438130828907133,52
Project0098,14,6.340622535037204,3.4310785437717226,25
Project0099,14,6.20117669405206,6.862157087543441,56
Project0100,14,6.431450771444777,5.438130828907133,59
Project0101,14,4.4588933994240305,4.5356391227770585,63
Project0102,14,6.20117669405206,3.4310785437717226,46
Project0103,14,5.007424512808465,3.4310785437717226,46
Project0104,14,5.438130828907133,3.4310785437717226,48
Project0105,14,5.096616115046719,3.4310785437717226,51
Project0106,14,5.077972025209109,3.6331474166469837,55
Project0107,14,6.862157087543445,5.438130828907133,30
Project0108,14,4.5356391227770585,5.438130828907133,55
Project0109,14,6.862157087543445,4.1941244089166485,37
Project0110,14,4.014104570270817,5.438130828907133,52
Project0111,14,3.9028639338031295,3.4310785437717226,51
Project0112,14,4.916596276400892,3.4310785437717226,49
Project0113,14,6.862157087543441,5.438130828907129,56
Project0114,14,8.286183346179762,4.063853732745652,60
Project0115,14,4.5356391227770585,4.194124408916653,47
Project0116,14,5.438130828907129,4.535639122777063,39
Project0117,14,6.862157087543445,6.862157087543445,59
Project0118,14,3.4310785437717226,3.4310785437717226,43
Project0119,14,7.9667176665487816,6.20117669405206,57
Project0120,14,5.438130828907129,4.5356391227770585,47
Project0121,14,8.869209372678851,4.5356391227770585,43
Project0122,14,5.438130828907133,6.862157087543445,49
Project0123,14,11.3977962103205,6.862157087543441,51
Project0124,14,5.438130828907129,5.438130828907129,44
Project0125,14,3.4310785437717226,3.4310785437717226,42
Project0126,14,3.4310785437717226,3.4310785437717226,42
Project0127,14,9.632255237823777,5.7057635741949975,54
Project0128,14,2.7700981502803366,6.862157087543445,38
Project0129,14,4.729781652885802,6.862157087543445,52
Project0130,14,4.5356391227770585,7.9667176665487816,55
Project0131,14,3.4310785437717226,3.4310785437717226,42
Project0132,14,6.608255280325069,5.438130828907133,59
Project0133,14,4.5356391227770585,3.4310785437717226,41
Project0134,14,3.4310785437717226,3.4310785437717226,47
Project0135,14,4.5356391227770585,3.4310785437717226,33
Project0136,14,5.326890192439441,5.438130828907133,45
Project0137,14,3.4310785437717226,5.438130828907133,40
Project0138,14,8.286183346179753,6.20117669405206,59
Project0139,14,4.707332634817113,4.1941244089166485,43
Project0140,14,3.4310785437717226,3.4310785437717226,42
Project0141,14,6.862157087543445,4.855104802408035,62
Project0142,14,6.862157087543445,5.438130828907129,47
Project0143,14,6.862157087543445,3.4310785437717226,59
Project0144,14,4.5356391227770585,4.194124408916653,63
Project0145,14,4.3921508152544595,3.9028639338031295,54
Project0146,14,8.438503056580188,5.438130828907129,54
Project0147,14,4.014104570270821,4.5356391227770585,57
Project0148,14,5.438130828907129,5.096616115046723,42
Project0149,14,5.438130828907129,5.007424512808465,50
Project0150,14,5.438130828907133,3.4310785437717226,45
Project0151,14,6.862157087543441,3.4310785437717226,43
Project0152,14,5.75759650853811,3.4310785437717226,60
Project0153,14,7.625202952688376,5.438130828907129,42
Project0154,14,3.6725898564104114,5.438130828907129,50
