Dataset,original dim,intrinsic dim_L1,intrinsic dim_L2,No. of instances
camel-1.0,20,3.0895638299113126,3.4310785437717226,339
camel-1.2,20,2.0618171035532677,1.1937017104376406,608
camel-1.4,20,1.9612518357625623,1.2677332479232712,872
camel-1.6,20,1.8713392883269626,1.2864880240141945,965
ivy-1.1,20,4.1941244089166485,5.438130828907129,111
ivy-1.4,20,2.7700981502803366,2.403263688119415,241
ivy-2.0,20,5.834342231891133,6.7050010308862715,352
jedit-3.2,20,2.330499229618009,2.0070522851354062,272
jedit-4.0,20,2.7700981502803366,2.7700981502803366,306
jedit-4.1,20,2.3612611219236617,2.2373263625281288,312
jedit-4.2,20,2.2871881592455154,1.4775402933521802,367
jedit-4.3,20,2.043121476368436,1.4388961763063939,492
log4j-1.0,20,4.5356391227770585,3.4310785437717226,135
log4j-1.1,20,3.6331474166469837,3.4310785437717226,109
log4j-1.2,20,3.0003722276730587,1.6655375712749962,205
lucene-2.0,20,4.194124408916653,4.194124408916653,195
lucene-2.2,20,2.9951369019602843,1.820237661620312,247
lucene-2.4,20,2.586313439393472,1.7655409724967177,340
poi-1.5,20,1.753150477917038,2.162795468941543,237
poi-2.0,20,1.9001968922627568,1.7069604071440558,314
poi-2.5,20,2.049817129959414,1.737335767979265,385
poi-3.0,20,2.3201349851585173,1.367454214309382,442
synapse-1.0,20,2.632161764080014,1.55900794780829,157
synapse-1.1,20,2.307144163126761,2.3265179647663867,222
synapse-1.2,20,2.2924972122919645,1.8877694048190594,256
velocity-1.4,20,2.283693807690504,1.48125232952164,196
velocity-1.5,20,2.180754318201194,1.2460900323813355,214
velocity-1.6,20,1.9478158112868251,1.3818983447801678,229
xalan-2.4,20,2.202846251146496,1.43085145206396,723
xalan-2.5,20,2.1238735508043667,1.3913520399669246,803
xalan-2.6,20,2.1690789990033825,1.4325087065323991,885
xalan-2.7,20,2.170264309801478,1.361502325368517,909
xerces-1.2,20,3.066628283310583,2.0317230375212665,440
xerces-1.3,20,3.211755798279559,3.1241286735898717,453
xerces-1.4,20,3.2659888849582996,1.713465682159537,588
xerces-init,20,3.861784859870391,3.6511147684973486,162
