wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
0.08163265306122448,0.75,0.0,0.05,0.125,0.00872093023255814,0.03773584905660377,0.06666666666666667,0.09523809523809523,1.0,0.08418367346938775,0.0,0.0,0.953488372,0.35714285700000004,0.5,0.30000000000000004,0.23608349900596423,0.13043478260869565,0.16
0.04081632653061224,0.0,0.0,0.0,0.03125,0.0014534883720930232,0.0,0.0,0.047619047619047616,1.0,0.00510204081632653,0.0,0.0,0.0,0.5,0.0,0.0,0.019880715705765408,0.043478260869565216,0.08
0.16326530612244897,0.0,0.0,0.1,0.22916666666666666,0.0,0.05660377358490566,0.2,0.19047619047619047,0.07142857150000001,0.14965986394557823,1.0,0.0,0.0,0.40625,0.0,0.0,0.20750497017892644,0.21739130434782608,0.5
0.16326530612244897,0.25,0.1111111111111111,0.11666666666666667,0.25,0.01744186046511628,0.018867924528301886,0.4,0.19047619047619047,0.4682539685,0.1522108843537415,0.5555555560000001,0.0,0.533333333,0.333333333,0.0,0.0,0.20129224652087477,0.30434782608695654,0.36
0.2040816326530612,0.0,0.5555555555555556,0.5666666666666667,0.13541666666666666,0.06540697674418605,0.6037735849056604,0.13333333333333333,0.21428571428571427,0.5,0.023809523809523808,0.0,0.0,0.0,0.40740740700000005,0.0,0.0,0.015904572564612328,0.043478260869565216,0.128
0.24489795918367346,0.25,0.0,0.16666666666666666,0.3645833333333333,0.03488372093023256,0.0,0.6666666666666666,0.26190476190476186,0.4970674485,0.45153061224489793,0.064516129,0.2857142857142857,0.666666667,0.36666666700000006,1.0,0.4,0.4042412193836978,1.0,0.813328
0.04081632653061224,0.0,0.0,0.06666666666666667,0.041666666666666664,0.0014534883720930232,0.018867924528301886,0.2,0.023809523809523808,1.0,0.008503401360544217,0.0,0.0,0.0,0.75,0.0,0.0,0.039761431411530816,0.043478260869565216,0.08
0.1020408163265306,0.0,0.0,0.016666666666666666,0.14583333333333331,0.011627906976744186,0.0,0.06666666666666667,0.047619047619047616,0.4375,0.03826530612244898,0.0,0.14285714285714285,0.0,0.333333333,0.0,0.0,0.07554671968190854,0.043478260869565216,0.096
0.04081632653061224,0.25,0.0,0.06666666666666667,0.11458333333333333,0.0,0.018867924528301886,0.2,0.023809523809523808,0.0,0.05697278911564626,0.0,0.2857142857142857,0.983870968,0.666666667,0.0,0.0,0.31312127236580517,0.21739130434782608,0.4
0.061224489795918366,0.0,0.0,0.0,0.14583333333333331,0.00436046511627907,0.0,0.0,0.047619047619047616,1.0,0.1130952380952381,0.0,0.0,0.0,0.333333333,0.0,0.0,0.43074884025844934,0.17391304347826086,0.266672
